POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;CONSUMO_PICCO_PRELEVATA;CONSUMO_PICCO_IMMESSA;TIPO_DATO
IT012E00801406;20250417;123000;2;0.028;;0;;;;2.096;0;E
IT012E00801406;20250417;124500;2;0.026;;0;;;;2.096;0;E
IT012E00801406;20250417;130000;2;0.039;;0;;;;2.096;0;E
IT012E00801406;20250417;131500;2;0.039;;0;;;;2.096;0;E
IT012E00801406;20250417;133000;2;0.046;;0;;;;2.096;0;E
IT012E00801406;20250417;134500;2;0.026;;0;;;;2.096;0;E
IT012E00801406;20250417;140000;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;141500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;143000;2;0.04;;0;;;;2.096;0;E
IT012E00801406;20250417;144500;2;0.038;;0;;;;2.096;0;E
IT012E00801406;20250417;150000;2;0.026;;0;;;;2.096;0;E
IT012E00801406;20250417;151500;2;0.027;;0;;;;2.096;0;E
IT012E00801406;20250417;153000;2;0.027;;0;;;;2.096;0;E
IT012E00801406;20250417;154500;2;0.036;;0;;;;2.096;0;E
IT012E00801406;20250417;160000;2;0.044;;0;;;;2.096;0;E
IT012E00801406;20250417;161500;2;0.043;;0;;;;2.096;0;E
IT012E00801406;20250417;163000;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;164500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;170000;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;171500;2;0.045;;0;;;;2.096;0;E
IT012E00801406;20250417;173000;2;0.036;;0;;;;2.096;0;E
IT012E00801406;20250417;174500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;180000;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250417;181500;2;0.041;;0;;;;2.096;0;E
